Agence de rattachement,Sexe ,Age,Situation Matrimoniale,Occupation/profession,Nombres de mois de cotisation,Nombres de plans cotisés,Nombre de plans cotisés à terme,Montant de l'épargne cotisé,Nombre de transactions enregistrées,Nombre de crédits demandés,Montant de crédits demandés,Secteur d'activité économique du crédit demandé,Sous Secteur d'activité économique du crédit demandé,Nombres de crédit octroyés,Cotisation au RPC,Cautionnement signé,Revenus du Garant
A234, M ,30.0, Marié ,Commerce,5,5,5,188000,85,1,300000.0, COMMERCE , Formel ,1,1.0, Oui ,80000.0
A319, F ,22.0, Célibataire ,Beauté,5,8,6,251000,84,1,250000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,100000.0
A314, M ,32.0, Marié ,Commerce,5,6,2,106000,81,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,50000.0
A304, F ,30.0, Marié ,Commerce,5,5,4,99000,74,1,144000.0, COMMERCE , Informel ,0,1.0, Oui ,500000.0
A234, M ,23.0, Marié ,Commerce,5,8,8,273000,29,1,260000.0, COMMERCE , Formel ,1,1.0, Oui ,80000.0
A234, F ,39.0, Marié ,Commerce,5,5,5,77500,15,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,98000.0
A304, M ,24.0, Célibataire ,Commerce,5,5,4,124000,4,1,288000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,90000.0
A346, F ,37.0, Marié ,Couture,5,5,4,72000,13,1,150000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A348, M ,36.0, Marié ,Commerce,5,7,6,310000,53,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A270, F ,36.0, Inconnue ,Restauration,5,5,1,430000,30,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A234, M ,49.0, Marié ,Couture,5,5,5,74500,68,1,130000.0, COMMERCE , Formel ,0,1.0, Oui ,192000.0
A234, F ,40.0, Célibataire ,Commerce,5,5,4,71000,36,1,150000.0, COMMERCE , Formel ,0,1.0, Oui ,150000.0
A234, M ,26.0, Marié ,Couture,5,6,4,141000,51,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,120000.0
A270, M ,51.0, Marié ,Artisan,5,6,4,184000,25,1,400000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A340, M ,34.0, Célibataire ,Commerce,5,5,2,116000,64,1,200000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A354, F ,24.0, Marié ,Commerce,5,6,4,264000,48,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,80000.0
A238, M ,44.0, Marié ,Commerce,3,3,2,135000,10,1,450000.0, COMMERCE , Informel ,1,0.0, Oui ,120000.0
A315, F ,34.0, Inconnue ,Commerce,5,5,3,123000,51,1,300000.0, COMMERCE , Informel ,0,1.0, Non ,270000.0
A315, F ,26.0, Inconnue ,Commerce,5,5,4,144000,79,1,300000.0, COMMERCE , Informel ,0,1.0, Non ,270000.0
A344, M ,32.0, Marié ,Commerce,5,5,4,390000,51,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A344, M ,38.0, Marié ,Tech_reparation,5,6,5,235500,78,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,90000.0
A325, M ,38.0, Marié ,Commerce,5,5,4,133000,50,1,300000.0, COMMERCE , Formel ,0,1.0, Non ,90000.0
A349, F ,44.0, Marié ,Commerce,5,5,3,268000,85,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,250000.0
A344, F ,39.0, Marié ,Commerce,5,5,3,135000,62,1,260000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A307, M ,24.0, Marié ,Commerce,5,9,5,400000,91,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,60000.0
A320, M ,30.0, Marié ,Beauté,5,6,1,67000,30,1,100000.0, COMMERCE , Formel ,1,1.0, Oui ,50000.0
A257, M ,36.0, Marié ,Commerce,5,5,2,210000,60,1,260000.0, COMMERCE , Informel ,0,1.0, Oui ,90000.0
A247, F ,41.0, Marié ,Commerce,4,4,3,111000,44,1,200000.0, COMMERCE , Informel ,0,1.0, Non ,90000.0
A353, F ,51.0, Veuf ,Commerce,5,7,2,126500,76,1,300000.0, COMMERCE , Formel ,0,1.0, Oui ,200000.0
A349, F ,20.0, Célibataire ,Commerce,5,5,4,137000,49,1,150000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A230, F ,30.0, Marié ,Commerce,5,5,4,447000,68,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,120000.0
A341, F ,26.0, Marié ,Commerce,5,5,4,423500,29,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,300000.0
A301, F ,31.0, Marié ,Commerce,5,5,5,750000,80,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,330000.0
